"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"DEERFIELD PARK S/D","","","","430","Ground water","957 RAND RD
GARNER, NC 27529","919-772-2587","",""
"DEERFIELD S/D","","","","124","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"DEERFIELD S/D","","","","46","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DEERHURST MHC","","","","395","Ground water","4100 US HWY 29 NORTH #84
GREENSBORO, NC 27405","336-542-5952","",""
"DEERPATH S/D","","","","142","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DEERWOOD S/D","","","","108","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DEERWOODE FITNESS & WELLNESS","","","","50","Ground water","269 RIVERSEDGE RD
BREVARD, NC 28712","828-884-2597","",""
"DELLINGER`S MHP","","","","53","Ground water","222 HARDWOOD CIRCLE
GASTONIA, NC 28056","","",""
"DELWAY TRADING COMPANY","","","","25","Ground water","104 DELWAY HWY
ROSE HILL, NC 28458","910-532-4190","",""
"DENTON, TOWN OF","","","","3,080","Surface water","PO BOX 306
DENTON, NC 27239","336-859-5885","",""
"DENVER SHORES MHP WATER SYSTEM","","","","229","Ground water","PO BOX 98
DENVER, NC 28037","704-287-5764","",""
"DENVER`S MHP  NO 2","","","","25","Ground water","8193 CRUSO RD
CANTON, NC 28716","828-235-8101","",""
"DEVONSHIRE S/D","","","","115","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"DIAMOND CREEK CLUBHOUSE","","","","75","Ground water","PO BOX 2216
BANNER ELK, NC 28604","828-898-1800","",""
"DIAMOND HEAD S/D","","","","1,433","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DIANE HABERL DENTISTRY","","","","30","Ground water","747 BRAWLEY SCHOOL RD
MOORESVILLE, NC 28117","704-663-3001","",""
"DILLINGHAM PRESBYTERIAN CHURCH","","","","50","Ground water","16 STONEY FORK RD
BARNARDSVILLE, NC 28709","","",""
"DILLSBORO WATER & SEWER INC","","","","25","Surface water purchased","PO BOX 1052
DILLSBORO, NC 28725","","",""
"DIXIE GRILL & GROCERY","","","","25","Ground water","9115 DIXIE RIVER ROAD
CHARLOTTE, NC 28278","704-392-8828","",""
"DOBBINS CREEK VINEYARDS","","","","25","Ground water","PO BOX 481
HAMPTONVILLE, NC 27020","336-468-4770","",""
"DOBSON, TOWN OF","","","","2,615","Surface water","PO BOX 351
WATER PLANT ORC
DOBSON, NC 27017","336-356-8622","",""
"DOC-MCCAIN HOSPITAL","","","","850","Ground water","4216 MAIL SERVICE CENTER
NC DPS - CENTRAL ENGINEERING
RALEIGH, NC 27699-4216","919-324-1284","",""
"DOGWOOD ACRES MH S/D","","","","88","Ground water","4700 HOMEWOOD COURT, SUITE 108
RALEIGH, NC 27609","252-236-5710","",""
"DOGWOOD ESTATES","","","","64","Ground water","PO BOX 7
LANDIS, NC 28088","704-857-7571","",""
"DOGWOOD KNOLLS SUBDIVISION","","","","98","Ground water","P.O. BOX 2733
WEAVERVILLE, NC 28787","828-837-9543","",""
"DOGWOOD MHP","","","","228","Ground water","149 PENN RD
REIDSVILLE, NC 27320","336-342-0608","",""
"DOGWOOD RV PARK","","","","100","Ground water","PO BOX 69
BAT CAVE, NC 28710","828-674-8622","",""
"DOLLAR GENERAL","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #12247","","","","100","Ground water","1521 S MAIN ST
WAYNESVILLE, NC 28786","828-648-1154","",""
"DOLLAR GENERAL #13963","","","","200","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #14483","","","","200","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #14737","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #14888","","","","200","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #15180","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #15695","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #15706","","","","200","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #16125","","","","200","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #16509","","","","200","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #16541","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #16932","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #16942","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #16984","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #17201","","","","100","Ground water","PO BOX 18968
HUNTSVILLE, AL 35804","256-533-7287","",""
"DOLLAR GENERAL #17263","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #17285","","","","50","Ground water","100 MISSION RIDGE RD
GOODLETTSVILLE, TN 37072","336-380-3223","",""
"DOLLAR GENERAL #17313","","","","75","Ground water","PO BOX 18968
HUNTSVILLE, AL 35804","256-533-7287","",""
"DOLLAR GENERAL #17591","","","","25","Ground water","100 MISSION RIDGE RD
GOODLETTSVILLE, TN 37072","336-221-9698","",""
"DOLLAR GENERAL #17619","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #17651","","","","25","Ground water","100 MISSION RIDGE RD
GOODLETTSVILLE, TN 37072","336-380-3223","",""
"DOLLAR GENERAL #18037","","","","200","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #18090","","","","25","Ground water","4399 VIRGILINA RD
ROXBORO, NC 27574","336-330-0013","",""
"DOLLAR GENERAL #18237","","","","200","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #18416","","","","25","Ground water","PO BOX 6460
THOMASVILLE, GA 31757","229-516-4289","",""
"DOLLAR GENERAL #18571","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #18574","","","","200","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #18665","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL #243","","","","200","Ground water","2514 SMOKEY PARK HWY
CANDLER, NC 28715","828-667-4428","",""
"DOLLAR GENERAL #9353","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL - ATWELL","","","","25","Ground water","109 DEAL RD
MOORESVILLE, NC 28115","704-859-0402","",""
"DOLLAR GENERAL ENOCHVILLE","","","","25","Ground water","106 S ENOCHVILLE AVE
KANNAPOLIS, NC 28081","704-934-3476","",""
"DOLLAR GENERAL HWY 21","","","","25","Ground water","PO BOX 843
VENTURE PROPERTIES VII
WILKESBORO, NC 28697","336-667-8000","",""
"DOLLAR GENERAL HWY 279","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL HWY 601 STORE 16429","","","","25","Ground water","8225 ROSE HILL SUITE 450
LENEXA, KS 66215","918-640-8778","",""
"DOLLAR GENERAL NC 49","","","","25","Ground water","PO BOX 854
EAGER DG, LLC
PALM HARBOR, FL 34682","727-781-8888","",""
"DOLLAR GENERAL NC HWY 87","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL STORE","","","","150","Ground water","8681 NORTH NC HWY 10
VALE, NC 28168","704-462-0810","",""
"DOLLAR GENERAL STORE #11156","","","","75","Ground water","1050 ROLLING PARK LN.
FORT MILL, SC 29715","","",""
"DOLLAR GENERAL STORE #13809","","","","25","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL STORE #14901","","","","50","Ground water","100 MISSION RIDGE RD
GOODLETTSVILLE, TN 37072","336-223-8167","",""
"DOLLAR GENERAL STORE #15122","","","","50","Ground water","100 MISSION RIDGE RD
GOODLETTSVILLE, TN 37072","336-380-3223","",""
"DOLLAR GENERAL STORE #15343","","","","50","Ground water","100 MISSION RIDGE RD
GOODLETTSVILLE, TN 37072","336-295-6461","",""
"DOLLAR GENERAL STORE #16505","","","","60","Ground water","3974 HIGHLANDS RD
FRANKLIN, NC 28734","828-634-4028","",""
"DOLLAR GENERAL STORE #17043","","","","50","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL STORE #17114","","","","75","Ground water","PO BOX 18968
HUNTSVILLE, AL 35804","256-533-7287","",""
"DOLLAR GENERAL STORE #17200","","","","75","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL STORE #17310","","","","75","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL STORE #17442","","","","75","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL STORE #17482","","","","100","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL STORE #18407","","","","50","Ground water","100 MISSION RIDGE
ATTN: DOLLAR GENERAL COMPLIANCE SPECIALI
GOODLETTSVILLE, TN 37072","615-855-4000","",""
"DOLLAR GENERAL STORE-MILL SPRING","","","","100","Ground water","7854 NC HWY 9 NORTH
MILL SPRING, NC 28756-5839","828-625-1963","",""
"DOLLAR GENERRAL STORE #15984","","","","75","Ground water","555 W 59TH ST
APT 7B
NEW YORK, NY 10019","","",""
"DOMTAR  RESOURCE BLDG","","","","25","Ground water","PO BOX 747
ATTN: DOMTAR PAPER CO. LLC
PLYMOUTH, NC 27962","252-793-8825","",""
"DOMTAR PAPER CO - MOBILE EQUIPMENT","","","","25","Ground water","PO BOX 747
ATTN: DOMTAR PAPER CO. LLC
PLYMOUTH, NC 27962","252-793-8825","",""
"DOMTAR PAPER COMPANY - PULP & PAPER","","","","450","Ground water","PO BOX 747
ATTN: DOMTAR PAPER CO. LLC
PLYMOUTH, NC 27962","252-793-8825","",""
"DOMTAR PAPER COMPANY - REC/PICNIC HUT","","","","100","Ground water","PO BOX 747
ATTN: DOMTAR PAPER CO. LLC
PLYMOUTH, NC 27962","252-793-8825","",""
"DOMTAR PAPER COMPANY - WOOD YARD","","","","25","Ground water","PO BOX 747
ATTN: DOMTAR PAPER CO. LLC
PLYMOUTH, NC 27962","252-793-8825","",""
"DONALDSON LANDING","","","","97","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DONNA-LYNN MHP","","","","143","Ground water","1324 BUFFALO SHOALS RD SUITE 150
STATESVILLE, NC 28677","704-528-6834","",""
"DON`S CORE SOUND GRILL","","","","100","Ground water","1000 MORRIS MARINA RD
ATLANTIC, NC 28511","252-225-0548","",""
"DON`S MHP","","","","112","Ground water","331 OAK GROVE ROAD
C/O CIRCLE HOLDING, LLC
KINGS MOUNTAIN, NC 28086","704-293-6147","",""
"DOOLIE MEADOWS S/D","","","","56","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DORSETT DOWNS S/D","","","","104","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DORTCHES, TOWN OF","","","","48","Surface water purchased","120 W WASHINGTON ST
SUITE 2004
NASHVILLE, NC 27856","252-210-3403","",""
"DOT I-85 EXIT 13 WEIGH STATION","","","","50","Ground water","1531 MAIL SERVICE CENTER
RALEIGH, NC 27699","919-733-4101","",""
"DOT-BLOWING ROCK RA US 221 W","","","","40","Ground water","PO BOX 250
NORTH WILKESBORO, NC 28659","336-667-9111","",""
"DOT-BOONE MAINT YARD","","","","38","Ground water","PO BOX 250
NORTH WILKESBORO, NC 28659","336-903-9228","",""
"DOT-BRYSON CITY LIC RENEW CTR","","","","25","Ground water","1531 MAIL SERVICE CENTER
RALEIGH, NC 27699","919-733-4101","",""
"DOT-CAMP BURTON MAINT YARD","","","","100","Ground water","4261 CAMP BURTON RD
MCLEANSVILLE, NC 27301","336-375-5831","",""
"DOT-CEDAR ISLAND FERRY TERM","","","","200","Ground water","8550 SHIPYARD RD
NC DOT FERRY OPERATIONS
MANNS HARBOR, NC 27953","252-423-5145","",""
"DOT-CHEROKEE CO EQUIP SHOP","","","","45","Ground water","253 WEBSTER RD
NCDOT ROADSIDE ENVIRONMENTAL
SYLVA, NC 28779","828-631-0272","",""
"DOT-FT FISHER FERRY","","","","500","Ground water","PO BOX 10028
SOUTHPORT, NC 28461","910-457-6942","",""
"DOT-HALIFAX CO WEIGH ST NBL","","","","25","Ground water","1531 MAIL SERVICE CENTER
RALEIGH, NC 27699","919-733-4101","",""
"DOT-HALIFAX CO WEIGH ST SBL","","","","25","Ground water","1531 MAIL SERVICE CENTER
RALEIGH, NC 27699","919-733-4101","",""
"DOT-HATTERAS FERRY SOUTH DOCK","","","","100","Ground water","8550 SHIPYARD RD
NC DOT FERRY OPERATIONS
MANNS HARBOR, NC 27953","252-423-5145","",""
"DOT-HENDERSON CO WEIGH ST WBL","","","","100","Ground water","253 WEBSTER RD
NCDOT ROADSIDE ENVIRONMENTAL
SYLVA, NC 28779","828-631-0272","",""
"DOT-HENDERSON CO WEIGH STA EBL","","","","100","Ground water","253 WEBSTER RD
NCDOT ROADSIDE ENVIRONMENTAL
SYLVA, NC 28779","828-631-0272","",""
"DOT-I-40 REST AREA WBL","","","","1,000","Ground water","253 WEBSTER RD
NCDOT ROADSIDE ENVIRONMENTAL
SYLVA, NC 28779","828-631-0272","",""
"DOT-I-40 WEIGHT STATION EBL","","","","25","Ground water","1033 SMYRE FARM RD
NEWTON, NC 28658","704-878-4250","",""
"DOT-I-85 WEIGH STATION SBL","","","","50","Ground water","1531 MAIL SERVICE CENTER
RALEIGH, NC 27699","919-733-4101","",""
"DOT-IREDELL CO WEIGH ST WBL","","","","25","Ground water","1033 SMYRE FARM RD
NEWTON, NC 28658","704-878-4250","",""
"DOT-NC STATE SHIPYARD","","","","85","Ground water","8550 SHIPYARD RD
NC DOT FERRY OPERATIONS
MANNS HARBOR, NC 27953","252-423-5145","",""
"DOT-OXFORD MAINT YARD","","","","85","Ground water","2612 NORTH DUKE STREET
DURHAM, NC 27704","919-220-4600","",""
"DOT-SMETHPORT MAINT YARD","","","","47","Ground water","PO BOX 250
NORTH WILKESBORO, NC 28659","336-903-9228","",""
"DOT-SURRY CO I-77 WEIGH ST NBL","","","","200","Ground water","PO BOX 250
NORTH WILKESBORO, NC 28659","336-667-9111","",""
"DOT-SURRY CO I-77 WEIGH ST SBL","","","","200","Ground water","PO BOX 250
NORTH WILKESBORO, NC 28659","336-667-9111","",""
"DOT-WHITTIER BRIDGE MAINT","","","","30","Ground water","253 WEBSTER RD
SYLVA, NC 28779","828-631-0272","",""
"DOUBLE CREEK CHURCH OF CHRIST","","","","25","Ground water","3323 ROCKFORD RD
DOBSON, NC 27017","","",""
"DOUBLE D BURNOUT SALOON","","","","25","Ground water","1408 E MOUNTIAN ST
KERNERSVILLE, NC 27284","336-992-1250","",""
"DOUBLE ISLAND BAPTIST CHURCH","","","","125","Ground water","5170 DOUBLE ISLAND ROAD
GREENMOUNTAIN, NC 28740","","",""
"DOUG WILSON LABOR CAMP  NO 1","","","","110","Ground water","3164 GOVERNOR MOORE RD
CLINTON, NC 28328","910-533-3105","",""
"DOUG WILSON LABOR CAMP  NO 3","","","","25","Ground water","3164 GOVERNOR MOORE RD
CLINTON, NC 28328","910-533-3105","",""
"DOUGHTON PARK--CAMPGROUND","","","","400","Ground water","199 HEMPHILL KNOB RD
ASHEVILLE, NC 28803","336-372-8867","",""
"DOVE MEADOWS S/D","","","","48","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DOVER BAPTIST CHURCH","","","","120","Ground water","265 PA MOONEY LN
TAYLORSVILLE, NC 28681","828-632-9215","",""
"DOVER BAPTIST CHURCH","","","","150","Ground water","2527 DOVER CHURCH ROAD
SEAGROVE, NC 27341","910-428-9272","",""
"DOVER, TOWN OF","","","","425","Ground water","PO BOX 128
DOVER, NC 28526","","",""
"DOWDLE TRACE S/D","","","","79","Ground water","PO BOX 954
ATTN ENVIRONMENTAL INC - CULLOWHEE
CULLOWHEE, NC 28723","828-586-5588","",""
"DOWN BY THE RIVER CAMPGROUND","","","","188","Ground water","P O BOX 155
PINEOLA, NC 28662","828-733-5057","",""
"DOWN EAST MHP","","","","107","Ground water","219 SHELL RD
ATLANTIC, NC 28511","","",""
"DOWRY CREEK MARINA","","","","25","Ground water","110 SPINNAKER RUN ROAD
BELHAVEN, NC 27810","800-824-7035","",""
"DREXEL TOWN OF","","","","2,990","Surface water purchased","PO BOX 188
DREXEL, NC 28619","828-437-7421","",""
"DRUM`S PARTNERSHIP  NO 1","","","","97","Ground water","411 E 20TH ST
NEWTON, NC 28658","828-465-6259","",""
"DRY CREEK BAPTIST CHURCH","","","","25","Ground water","1059 DRY CREEK ROAD
ROBBINSVILLE, NC 28771","","",""
"DUAN ACRES WATER SYSTEM","","","","305","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DUBLIN, TOWN OF","","","","447","Ground water","PO BOX 36
DUBLIN, NC 28332","910-862-4301","",""
"DUKE ENERGY-BUCK STEAM STATION","","","","75","Ground water","1385 DUKEVILLE RD
SALISBURY, NC 28146","704-630-3080","",""
"DUKE ENERGY-MARSHALL STEAM STATION","","","","150","Ground water","8320 EAST NC HWY 150
TERRELL, NC 28682","828-478-7820","",""
"DUKE MEMORIAL BAPTIST CHURCH","","","","60","Ground water","3976 NC HWY 581
LOUISBURG, NC 27549","","",""
"DULINS GROVE ADVENT CHRISTIAN","","","","65","Ground water","11200 ARLINGTON CHURCH RD
CHARLOTTE, NC 28227","","",""
"DUNCAN RIDGE S/D","","","","220","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"DUNCANS CREEK PRESBYTERIAN CH","","","","60","Ground water","3622 OLD LINCOLNTON RD
SHELBY, NC 28150","","",""
"DUNN, CITY OF","","","","11,110","Surface water","PO BOX 1065
ATTN: PW DIRECTOR
DUNN, NC 28334","910-892-2948","",""
"DUNNS MOUNTAIN PARK","","","","28","Ground water","3541 OLD MOCKSVILLE RD
SALISBURY, NC 28144","704-637-1070","",""
"DUPLIN COUNTY WATER SYSTEM","","","","17,000","Ground water","PO BOX 988
C/O DUPLIN CO WATER DEPT
KENANSVILLE, NC 28349","910-296-2123","",""
"DUPONT STATE FOREST","","","","30","Ground water","PO BOX 300
CEDAR MOUNTAIN, NC 28718","828-877-6257","",""
"DURHAM COUNTY ROUGEMONT WATER SYSTEM","","","","65","Ground water","5926 NC HWY 55 EAST
TRIANGLE WASTE WATER TREATMENT PLANT
DURHAM, NC 27713","919-560-9034","",""
"DURHAM, CITY OF","<a href=""javascript:popURL('http://www.durhamnc.gov/departments/wm/water_quality.cfm');"">http://www.durhamnc.gov/departments/wm/water_quality.cfm</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","","","278,440","Surface water","101 CITY HALL PLAZA
DURHAM, NC 27701","919-560-4381","",""
"DUTCH COVE BAPTIST CHURCH","","","","125","Ground water","4161 DUTCH COVE ROAD
CANTON, NC 28716","828-648-0406","",""
"DUTCHESS DOWNS MH S/D","","","","180","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"DUTCHESS FOREST S/D","","","","81","Ground water","PO BOX 655
TABOR CITY, NC 28463","910-653-3458","",""
"DUTCHMAN DOWNS SWIM CLUB POOL","","","","40","Ground water","8204 BELGIUM DRIVE
RALEIGH, NC 27606","919-523-7946","",""
"DUTCHMAN`S POINT CAMPGROUND","","","","30","Ground water","555 SCOUT RD
SALISBURY, NC 28146","704-633-0749","",""
"DUXFORD S/D","","","","76","Ground water","7536 NC 39 HWY
ZEBULON, NC 27597","919-404-1668","",""
"DYSARTSVILLE BAPTIST CHURCH","","","","50","Ground water","307 OAK HILL RD
NEBO, NC 28761","","",""
"DYSARTVILLE CHEVRON/RESTAURANT","","","","150","Ground water","2619 TATER TOWN LOOP
NEBO, NC 28761","","",""
"EAGLE CAMP LLC #1","","","","25","Ground water","PO BOX 127
LAKE LURE, NC 28746","828-625-8826","",""
"EAGLE CAMP LLC #2","","","","25","Ground water","PO BOX 127
LAKE LURE, NC 28746","828-625-8826","",""
"EAGLE CAMP LLC #3","","","","25","Ground water","PO BOX 127
LAKE LURE, NC 28746","828-625-8826","",""
